Songtitle,Artist(s),uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
beverly,['Koi'],spotify:track:2pTW1GkqQ6dPTBOff2ZqQc,0.735,0.491,0,-7.766,0,0.0427,0.157,5.98e-05,0.121,0.574,167.13
Titanium (feat. Sia),"['David Guetta', 'Sia']",spotify:track:47Z5890IcjSed81ldeLgqc,0.602,0.796,0,-3.657,0,0.103,0.0682,0.12,0.15,0.265,126.06
LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']",spotify:track:6PGoSes0D9eUDeeAafB2As,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058
do re mi,['blackbear'],spotify:track:3sTCfUmYXSVWDacTd6uMbQ,0.747,0.592,8,-6.334,1,0.0457,0.00517,1.48e-05,0.124,0.176,110.991
Lord Of The Rings: The Fellowship Of The Ring - Concerning Hobbits,"['Raine', 'The City of Prague Philharmonic Orchestra', 'Crouch End Festival Chorus']",spotify:track:2Twe7p278J2GxzjQZWJZWM,0.341,0.193,2,-16.915,1,0.0364,0.848,0.923,0.131,0.0749,104.448
Don't Dream It's Over,['Crowded House'],spotify:track:68wIBE5dVVX8RyfZCJnAj5,0.443,0.732,8,-6.748,1,0.0408,0.0246,2.09e-05,0.0675,0.489,80.769
Hard to Say I'm Sorry / Get Away - 2006 Remaster,['Chicago'],spotify:track:07TnWCHrFkvF61GzJuLVt0,0.398,0.57,4,-7.068,1,0.034,0.056,0.00125,0.0606,0.234,140.974
I Fall Apart,['Post Malone'],spotify:track:75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95
Get Right Witcha,['Migos'],spotify:track:76Y0gxtTxN0FyDCYh5qYQj,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19e-05,0.103,0.62,136.98
Drama (feat. Drake),"['Roy Woods', 'Drake']",spotify:track:0PXp9QxBfSKGGpWUNaws2X,0.709,0.362,11,-9.814,1,0.055,0.157,0.0,0.109,0.113,122.043
F*ck Up Some Commas,['Future'],spotify:track:49zD0wr2S3d0lZPib0K4e1,0.874,0.568,11,-5.896,0,0.224,0.0698,1.38e-05,0.149,0.46,139.995
Too Young,['Post Malone'],spotify:track:4SYUUlkScpNR1QvPscXf8t,0.602,0.635,4,-6.526,0,0.052,0.271,3.2e-05,0.0829,0.225,123.05
Money Made Me Do It,"['Post Malone', '2 Chainz']",spotify:track:1ysAvOdJgUjc6CqOQxepaz,0.734,0.429,7,-6.511,1,0.16,0.305,0.0,0.0659,0.372,83.021
Congratulations,"['Post Malone', 'Quavo']",spotify:track:3a1lNhkSLSkpJE4MSHpDu9,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146
"Yours Truly, Austin Post",['Post Malone'],spotify:track:0LpiKjWMfZTkPPHonlM8nB,0.649,0.618,6,-5.694,1,0.0672,0.483,2.53e-06,0.166,0.421,125.977
